               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10284,             0.14295,                   0,            0.021667,                 0.5,             0.01918,           0.0049719,             0.08792,              0.1216,                   0,             0.07037,           0.0032922,           0.0032922
                   1,            0.094555,              0.1582,                   0,            0.017917,             0.41346,            0.014484,           0.0034055,            0.085003,             0.12419,                   0,            0.040239,           0.0064943,           0.0064943
                   2,             0.09036,             0.16321,                   0,                0.02,             0.46154,            0.024271,            0.004952,            0.079799,              0.1333,                   0,            0.009976,           0.0095645,           0.0095645
                   3,            0.086825,             0.15486,                   0,            0.055986,             0.11538,            0.025299,           0.0059604,            0.096143,            0.099523,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.078837,             0.15647,                   0,             0.33206,             0.30769,             0.14666,            0.041724,            0.089164,             0.10488,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.073403,             0.14375,                   0,             0.24292,             0.24038,             0.16352,            0.036334,            0.078348,             0.11444,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.068316,              0.1454,                   0,             0.57598,             0.63462,             0.50794,             0.13303,            0.062267,              0.1146,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.064828,              0.1375,                   0,             0.46031,             0.45192,              0.3393,            0.082783,            0.069978,             0.10061,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.062662,             0.13712,                   0,             0.66899,             0.57692,             0.55379,             0.15726,            0.064367,             0.08746,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.058799,             0.12785,                   0,             0.78298,             0.69385,              0.6694,             0.21729,            0.055007,             0.10199,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.057732,             0.12899,                   0,             0.79934,             0.73077,              0.6798,              0.2066,            0.055221,            0.089374,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.055919,             0.12465,                   0,             0.79323,             0.72115,             0.71004,              0.2257,            0.054847,             0.09334,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.054093,             0.12669,                   0,             0.71379,             0.57692,             0.55057,             0.14773,            0.061077,            0.094111,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.053602,             0.12452,                   0,             0.82975,             0.70294,             0.74609,             0.25095,            0.053514,            0.090049,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.051445,             0.12216,                   0,             0.85869,                0.75,             0.77796,             0.24145,             0.05253,            0.089705,                   0,            0.007426,            0.007426,            0.007426
